epoch,train_loss,learning_rate,optimizer_steps,seconds
1,4.274071538983789,9.999999999999999e-05,27,59.16568636894226
2,2.9147674783747246,0.00019999999999999998,27,38.21135687828064
3,2.481173660174611,0.0003,27,36.7544219493866
4,2.2366131158021605,0.0003,27,36.86295962333679
5,2.099842662788734,0.0002994862842423856,27,36.838393688201904
6,2.013618488965587,0.0002979490466566481,27,40.552382469177246
7,1.9433525718977547,0.0002953999865490242,27,36.750367641448975
8,1.8747616769574214,0.00029185850380609757,27,36.403669595718384
9,1.8468987163922466,0.00028735155124994774,27,37.15008187294006
10,1.7741113498137635,0.0002819134295108992,27,37.15320420265198
11,1.7385722342394205,0.0002755855259790139,27,39.81032752990723
12,1.7115874053738642,0.000268415999821062,27,36.57471060752869
13,1.669799674487283,0.0002604594154601839,27,37.17822194099426
14,1.6107076144387535,0.0002517763273076828,27,37.30806231498718
15,1.5823182501691453,0.0002424328189073912,27,36.20063018798828
16,1.55314463982909,0.00023249999999999999,27,39.838621377944946
17,1.525613169579923,0.00022205346533499438,27,36.930643796920776
18,1.4681336282274684,0.00021117271934896527,27,36.436219453811646
19,1.4405705396165238,0.0001999405710888403,27,36.284950256347656
20,1.4138348677479629,0.0001884425039850356,27,37.075510025024414
21,1.3792329575716744,0.00017676602527093386,27,40.18347191810608
22,1.3387935654773215,0.000165,27,36.314125299453735
23,1.304577248034466,0.00015323397472906614,27,36.568201780319214
24,1.2786148933090498,0.0001415574960149644,27,36.92513132095337
25,1.258263215387403,0.00013005942891115968,27,36.65025806427002
26,1.2224913615706965,0.00011882728065103475,27,41.06843948364258
27,1.190760595578674,0.0001079465346650056,27,37.31805348396301
28,1.1672249153150733,9.750000000000003e-05,27,37.507463693618774
29,1.1393647258726982,8.756718109260876e-05,27,37.185827016830444
30,1.11991405599788,7.822367269231717e-05,27,36.381298780441284
31,1.1088402145861451,6.954058453981609e-05,27,40.44934892654419
32,1.0921841146816316,6.158400017893799e-05,27,37.044737339019775
33,1.0712185320279277,5.441447402098609e-05,27,37.4527952671051
34,1.062102212409883,4.8086570489100804e-05,27,36.55362415313721
35,1.0437411844871287,4.264844875005226e-05,27,37.68254280090332
36,1.0389813235465517,3.814149619390237e-05,27,40.53736138343811
37,1.0276357910593632,3.4600013450975774e-05,27,36.94095849990845
38,1.025482440389358,3.205095334335192e-05,27,36.274858713150024
39,1.014315627990885,3.051371575761435e-05,27,36.903130531311035
40,1.0083611758324553,2.9999999999999997e-05,27,37.09781050682068
